"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","TRY","PC_25_64","A","2017",45.355675,
"AUS","EDUADULT","TRY","PC_25_64","A","2018",45.727478,
"AUS","EDUADULT","TRY","PC_25_64","A","2019",47.129978,
"AUS","EDUADULT","TRY","PC_25_64","A","2020",49.337452,
"AUT","EDUADULT","TRY","PC_25_64","A","2017",32.39439,
"AUT","EDUADULT","TRY","PC_25_64","A","2018",32.711426,
"AUT","EDUADULT","TRY","PC_25_64","A","2019",33.773777,
"AUT","EDUADULT","TRY","PC_25_64","A","2020",34.205894,
"BEL","EDUADULT","TRY","PC_25_64","A","2017",40.257053,
"BEL","EDUADULT","TRY","PC_25_64","A","2018",40.638546,
"BEL","EDUADULT","TRY","PC_25_64","A","2019",40.67009,
"BEL","EDUADULT","TRY","PC_25_64","A","2020",42.442284,
"CAN","EDUADULT","TRY","PC_25_64","A","2017",56.71452,
"CAN","EDUADULT","TRY","PC_25_64","A","2018",57.888363,
"CAN","EDUADULT","TRY","PC_25_64","A","2019",59.374844,
"CAN","EDUADULT","TRY","PC_25_64","A","2020",59.961113,
"CZE","EDUADULT","TRY","PC_25_64","A","2017",23.927534,
"CZE","EDUADULT","TRY","PC_25_64","A","2018",24.262077,
"CZE","EDUADULT","TRY","PC_25_64","A","2019",24.212393,
"CZE","EDUADULT","TRY","PC_25_64","A","2020",24.853664,
"DNK","EDUADULT","TRY","PC_25_64","A","2017",38.889214,
"DNK","EDUADULT","TRY","PC_25_64","A","2018",39.44791,
"DNK","EDUADULT","TRY","PC_25_64","A","2019",40.353836,
"FIN","EDUADULT","TRY","PC_25_64","A","2017",44.304253,
"FIN","EDUADULT","TRY","PC_25_64","A","2018",45.188133,
"FIN","EDUADULT","TRY","PC_25_64","A","2019",45.93438,
"FIN","EDUADULT","TRY","PC_25_64","A","2020",47.874241,
"FRA","EDUADULT","TRY","PC_25_64","A","2017",35.213791,
"FRA","EDUADULT","TRY","PC_25_64","A","2018",36.897491,
"FRA","EDUADULT","TRY","PC_25_64","A","2019",37.904724,
"FRA","EDUADULT","TRY","PC_25_64","A","2020",39.717316,
"DEU","EDUADULT","TRY","PC_25_64","A","2017",28.58337,
"DEU","EDUADULT","TRY","PC_25_64","A","2018",29.065134,
"DEU","EDUADULT","TRY","PC_25_64","A","2019",29.900126,
"DEU","EDUADULT","TRY","PC_25_64","A","2020",31.255043,
"GRC","EDUADULT","TRY","PC_25_64","A","2017",31.027514,
"GRC","EDUADULT","TRY","PC_25_64","A","2018",31.739904,
"GRC","EDUADULT","TRY","PC_25_64","A","2019",31.890486,
"GRC","EDUADULT","TRY","PC_25_64","A","2020",32.744011,
"HUN","EDUADULT","TRY","PC_25_64","A","2017",24.054041,
"HUN","EDUADULT","TRY","PC_25_64","A","2018",25.101177,
"HUN","EDUADULT","TRY","PC_25_64","A","2019",25.981535,
"HUN","EDUADULT","TRY","PC_25_64","A","2020",27.203154,
"ISL","EDUADULT","TRY","PC_25_64","A","2017",39.043491,
"ISL","EDUADULT","TRY","PC_25_64","A","2018",40.279774,
"ISL","EDUADULT","TRY","PC_25_64","A","2019",40.948925,
"ISL","EDUADULT","TRY","PC_25_64","A","2020",40.643898,
"IRL","EDUADULT","TRY","PC_25_64","A","2017",45.65897,
"IRL","EDUADULT","TRY","PC_25_64","A","2018",46.935135,
"IRL","EDUADULT","TRY","PC_25_64","A","2019",47.306835,
"IRL","EDUADULT","TRY","PC_25_64","A","2020",49.943962,
"ITA","EDUADULT","TRY","PC_25_64","A","2017",18.669672,
"ITA","EDUADULT","TRY","PC_25_64","A","2018",19.323732,
"ITA","EDUADULT","TRY","PC_25_64","A","2019",19.632418,
"ITA","EDUADULT","TRY","PC_25_64","A","2020",20.135509,
"JPN","EDUADULT","TRY","PC_25_64","A","2017",51.440529,
"JPN","EDUADULT","TRY","PC_25_64","A","2018",51.928062,
"JPN","EDUADULT","TRY","PC_25_64","A","2019",52.67799,
"KOR","EDUADULT","TRY","PC_25_64","A","2017",47.744724,
"KOR","EDUADULT","TRY","PC_25_64","A","2018",49.008511,
"KOR","EDUADULT","TRY","PC_25_64","A","2019",50.03104,
"KOR","EDUADULT","TRY","PC_25_64","A","2020",50.708714,
"LUX","EDUADULT","TRY","PC_25_64","A","2017",40.325737,
"LUX","EDUADULT","TRY","PC_25_64","A","2018",43.886856,
"LUX","EDUADULT","TRY","PC_25_64","A","2019",51.642971,
"LUX","EDUADULT","TRY","PC_25_64","A","2020",51.312302,
"MEX","EDUADULT","TRY","PC_25_64","A","2017",17.418995,
"MEX","EDUADULT","TRY","PC_25_64","A","2018",17.979799,
"MEX","EDUADULT","TRY","PC_25_64","A","2019",18.259947,
"MEX","EDUADULT","TRY","PC_25_64","A","2020",19.432951,
"NLD","EDUADULT","TRY","PC_25_64","A","2017",37.16811,
"NLD","EDUADULT","TRY","PC_25_64","A","2018",38.343895,
"NLD","EDUADULT","TRY","PC_25_64","A","2019",40.385136,
"NLD","EDUADULT","TRY","PC_25_64","A","2020",42.644951,
"NZL","EDUADULT","TRY","PC_25_64","A","2017",37.730431,
"NZL","EDUADULT","TRY","PC_25_64","A","2018",39.292675,
"NZL","EDUADULT","TRY","PC_25_64","A","2019",39.065784,
"NZL","EDUADULT","TRY","PC_25_64","A","2020",40.121872,
"NOR","EDUADULT","TRY","PC_25_64","A","2017",43.207031,
"NOR","EDUADULT","TRY","PC_25_64","A","2018",43.575832,
"NOR","EDUADULT","TRY","PC_25_64","A","2019",44.129421,
"NOR","EDUADULT","TRY","PC_25_64","A","2020",45.273285,
"POL","EDUADULT","TRY","PC_25_64","A","2017",29.919453,
"POL","EDUADULT","TRY","PC_25_64","A","2018",30.919592,
"POL","EDUADULT","TRY","PC_25_64","A","2019",32.014767,
"POL","EDUADULT","TRY","PC_25_64","A","2020",32.875156,
"PRT","EDUADULT","TRY","PC_25_64","A","2017",24.039421,
"PRT","EDUADULT","TRY","PC_25_64","A","2018",24.984337,
"PRT","EDUADULT","TRY","PC_25_64","A","2019",26.284128,
"PRT","EDUADULT","TRY","PC_25_64","A","2020",28.164339,
"SVK","EDUADULT","TRY","PC_25_64","A","2017",23.095415,
"SVK","EDUADULT","TRY","PC_25_64","A","2018",24.58342,
"SVK","EDUADULT","TRY","PC_25_64","A","2019",25.786274,
"SVK","EDUADULT","TRY","PC_25_64","A","2020",26.773348,
"ESP","EDUADULT","TRY","PC_25_64","A","2017",36.351273,
"ESP","EDUADULT","TRY","PC_25_64","A","2018",37.252804,
"ESP","EDUADULT","TRY","PC_25_64","A","2019",38.596992,
"ESP","EDUADULT","TRY","PC_25_64","A","2020",39.68692,
"SWE","EDUADULT","TRY","PC_25_64","A","2017",41.936691,
"SWE","EDUADULT","TRY","PC_25_64","A","2018",43.247318,
"SWE","EDUADULT","TRY","PC_25_64","A","2019",43.970543,
"SWE","EDUADULT","TRY","PC_25_64","A","2020",44.608795,
"CHE","EDUADULT","TRY","PC_25_64","A","2017",42.594601,
"CHE","EDUADULT","TRY","PC_25_64","A","2018",43.744415,
"CHE","EDUADULT","TRY","PC_25_64","A","2019",44.412537,
"CHE","EDUADULT","TRY","PC_25_64","A","2020",45.277538,
"TUR","EDUADULT","TRY","PC_25_64","A","2017",20.013071,
"TUR","EDUADULT","TRY","PC_25_64","A","2018",20.780222,
"TUR","EDUADULT","TRY","PC_25_64","A","2019",21.951159,
"GBR","EDUADULT","TRY","PC_25_64","A","2017",45.744305,
"GBR","EDUADULT","TRY","PC_25_64","A","2018",45.781677,
"GBR","EDUADULT","TRY","PC_25_64","A","2019",47.189125,
"GBR","EDUADULT","TRY","PC_25_64","A","2020",49.39045,
"USA","EDUADULT","TRY","PC_25_64","A","2017",46.3568,
"USA","EDUADULT","TRY","PC_25_64","A","2018",47.431145,
"USA","EDUADULT","TRY","PC_25_64","A","2019",48.340187,
"USA","EDUADULT","TRY","PC_25_64","A","2020",50.055275,
"BRA","EDUADULT","TRY","PC_25_64","A","2017",17.228626,
"BRA","EDUADULT","TRY","PC_25_64","A","2018",18.429998,
"BRA","EDUADULT","TRY","PC_25_64","A","2019",18.801025,
"BRA","EDUADULT","TRY","PC_25_64","A","2020",20.136629,
"CHL","EDUADULT","TRY","PC_25_64","A","2017",25.168179,
"COL","EDUADULT","TRY","PC_25_64","A","2017",22.491623,
"COL","EDUADULT","TRY","PC_25_64","A","2018",23.391361,
"COL","EDUADULT","TRY","PC_25_64","A","2019",23.819326,
"COL","EDUADULT","TRY","PC_25_64","A","2020",24.594643,
"EST","EDUADULT","TRY","PC_25_64","A","2017",39.663879,
"EST","EDUADULT","TRY","PC_25_64","A","2018",41.130722,
"EST","EDUADULT","TRY","PC_25_64","A","2019",41.368298,
"EST","EDUADULT","TRY","PC_25_64","A","2020",42.209454,
"IDN","EDUADULT","TRY","PC_25_64","A","2017",11.857569,
"IDN","EDUADULT","TRY","PC_25_64","A","2018",12.408895,
"IDN","EDUADULT","TRY","PC_25_64","A","2019",12.41431,
"IDN","EDUADULT","TRY","PC_25_64","A","2020",12.792151,
"ISR","EDUADULT","TRY","PC_25_64","A","2017",50.91605,
"ISR","EDUADULT","TRY","PC_25_64","A","2018",50.201576,
"ISR","EDUADULT","TRY","PC_25_64","A","2019",50.246292,
"ISR","EDUADULT","TRY","PC_25_64","A","2020",50.12072,
"LVA","EDUADULT","TRY","PC_25_64","A","2017",33.882294,
"LVA","EDUADULT","TRY","PC_25_64","A","2018",33.939289,
"LVA","EDUADULT","TRY","PC_25_64","A","2019",35.707733,
"LVA","EDUADULT","TRY","PC_25_64","A","2020",37.833885,
"RUS","EDUADULT","TRY","PC_25_64","A","2017",56.70015,
"RUS","EDUADULT","TRY","PC_25_64","A","2018",56.725521,
"SVN","EDUADULT","TRY","PC_25_64","A","2017",34.302807,
"SVN","EDUADULT","TRY","PC_25_64","A","2018",32.455208,
"SVN","EDUADULT","TRY","PC_25_64","A","2019",33.283279,
"SVN","EDUADULT","TRY","PC_25_64","A","2020",35.881027,
"ZAF","EDUADULT","TRY","PC_25_64","A","2017",15.495651,
"ZAF","EDUADULT","TRY","PC_25_64","A","2018",15.387996,
"ZAF","EDUADULT","TRY","PC_25_64","A","2019",15.798151,
"ZAF","EDUADULT","TRY","PC_25_64","A","2020",15.839705,
"OAVG","EDUADULT","TRY","PC_25_64","A","2017",35.759683,
"OAVG","EDUADULT","TRY","PC_25_64","A","2018",36.846518,
"OAVG","EDUADULT","TRY","PC_25_64","A","2019",37.902528,
"OAVG","EDUADULT","TRY","PC_25_64","A","2020",39.015687,
"ARG","EDUADULT","TRY","PC_25_64","A","2017",21.406715,
"ARG","EDUADULT","TRY","PC_25_64","A","2018",35.663551,
"IND","EDUADULT","TRY","PC_25_64","A","2018",11.461905,
"IND","EDUADULT","TRY","PC_25_64","A","2019",12.368952,
"LTU","EDUADULT","TRY","PC_25_64","A","2017",40.273941,
"LTU","EDUADULT","TRY","PC_25_64","A","2018",41.654594,
"LTU","EDUADULT","TRY","PC_25_64","A","2019",43.149418,
"LTU","EDUADULT","TRY","PC_25_64","A","2020",44.13818,
"CRI","EDUADULT","TRY","PC_25_64","A","2017",22.989092,
"CRI","EDUADULT","TRY","PC_25_64","A","2018",22.601564,
"CRI","EDUADULT","TRY","PC_25_64","A","2019",25.066828,
"CRI","EDUADULT","TRY","PC_25_64","A","2020",25.112001,
"G20","EDUADULT","TRY","PC_25_64","A","2018",33.640558,
"G20","EDUADULT","TRY","PC_25_64","A","2019",32.784932,
