Insee - Statistiques locales; ; ; 
Référentiel géographique : France par région; ; ; 
Code;Libellé;Produit intérieur brut 2020;Produit intérieur brut par habitant 2020
01;Guadeloupe;8801;23198
02;Martinique;8856;24728
03;Guyane;4351;15091
04;La Réunion;19151;22148
06;Mayotte;2757;9714
11;Île-de-France;710128;57600
24;Centre-Val de Loire;71576;27859
27;Bourgogne-Franche-Comté;75561;27026
28;Normandie;90103;27168
32;Hauts-de-France;161638;26948
44;Grand Est;152797;27529
52;Pays de la Loire;116159;30258
53;Bretagne;99659;29500
75;Nouvelle-Aquitaine;172111;28467
76;Occitanie;168744;28157
84;Auvergne-Rhône-Alpes;268891;33205
93;Provence-Alpes-Côte d'Azur;161299;31580
94;Corse;8825;25571